"lon","lat","TEM"
-81.25,34.25,11.6
-80.75,34.25,11.7
-80.25,34.25,11.8
-79.75,34.25,11.8
-79.25,34.25,11.9
-78.75,34.25,11.9
-78.25,34.25,12.1
-77.75,34.25,12.8
-77.25,34.25,13.7
-76.75,34.25,14.9
-76.25,34.25,16.1
-75.75,34.25,17.1
-75.25,34.25,17.5
-74.75,34.25,17.6
-74.25,34.25,0
-73.75,34.25,0
-73.25,34.25,0
-91.25,34.75,11.6
-90.75,34.75,11.5
-90.25,34.75,11.4
-89.75,34.75,11.1
-89.25,34.75,11
-88.75,34.75,11
-88.25,34.75,11
-87.75,34.75,10.8
-87.25,34.75,10.6
-86.75,34.75,10.5
-86.25,34.75,10.3
-85.75,34.75,10.3
-85.25,34.75,10.6
-84.75,34.75,10.3
-84.25,34.75,9.6
-83.75,34.75,9.2
-83.25,34.75,9.6
-82.75,34.75,10
-82.25,34.75,10.5
-81.75,34.75,10.8
-81.25,34.75,10.8
-80.75,34.75,10.9
-80.25,34.75,11.1
-79.75,34.75,11.1
-79.25,34.75,11
-78.75,34.75,11
-78.25,34.75,11
-77.75,34.75,11.4
-77.25,34.75,11.9
-76.75,34.75,12.7
-76.25,34.75,13.9
-75.75,34.75,15.4
-75.25,34.75,16.4
-74.75,34.75,17
-74.25,34.75,0
-73.75,34.75,0
-73.25,34.75,0
-91.25,35.25,11.1
-90.75,35.25,11.1
-90.25,35.25,10.9
-89.75,35.25,10.7
-89.25,35.25,10.5
-88.75,35.25,10.4
-88.25,35.25,10.5
-87.75,35.25,10.2
-87.25,35.25,10
-86.75,35.25,9.9
-86.25,35.25,9.7
-85.75,35.25,9.4
-85.25,35.25,9.8
-84.75,35.25,9.8
-84.25,35.25,9.3
-83.75,35.25,8.1
-83.25,35.25,7.9
-82.75,35.25,8.2
-82.25,35.25,8.9
-81.75,35.25,9.6
-81.25,35.25,9.9
-80.75,35.25,10
-80.25,35.25,10.2
-79.75,35.25,10.3
-79.25,35.25,10.3
-78.75,35.25,10.2
-78.25,35.25,10.2
-77.75,35.25,10.4
-77.25,35.25,10.6
-76.75,35.25,11.1
-76.25,35.25,11.8
-75.75,35.25,12.9
-75.25,35.25,14.5
-74.75,35.25,15.7
-74.25,35.25,0
-73.75,35.25,0
-73.25,35.25,0
-91.25,35.75,10.6
-90.75,35.75,10.6
-90.25,35.75,10.5
-89.75,35.75,10.4
-89.25,35.75,10.2
-88.75,35.75,9.9
-88.25,35.75,10
-87.75,35.75,9.8
-87.25,35.75,9.6
-86.75,35.75,9.5
-86.25,35.75,9.4
-85.75,35.75,9
-85.25,35.75,8.9
-84.75,35.75,9
-84.25,35.75,9.2
-83.75,35.75,8.4
-83.25,35.75,7.8
-82.75,35.75,7.4
-82.25,35.75,7.5
-81.75,35.75,8
-81.25,35.75,8.8
-80.75,35.75,9.1
-80.25,35.75,9.2
-79.75,35.75,9.4
-79.25,35.75,9.5
-78.75,35.75,9.6
-78.25,35.75,9.6
-77.75,35.75,9.7
-77.25,35.75,9.8
-76.75,35.75,10
-76.25,35.75,10.3
