"","lon","lat","TEM"
"266",-88.25,33.25,12.2
"267",-87.75,33.25,12.1
"268",-87.25,33.25,11.9
"269",-86.75,33.25,11.8
"270",-86.25,33.25,11.8
"271",-85.75,33.25,11.7
"272",-85.25,33.25,11.7
"273",-84.75,33.25,11.7
"274",-84.25,33.25,11.8
"275",-83.75,33.25,12.1
"276",-83.25,33.25,12.4
"277",-82.75,33.25,12.6
"278",-82.25,33.25,12.9
"279",-81.75,33.25,13.1
"280",-81.25,33.25,13.1
"281",-80.75,33.25,13.4
"282",-80.25,33.25,13.7
"283",-79.75,33.25,14.4
"284",-79.25,33.25,15.6
"285",-78.75,33.25,17.4
"286",-78.25,33.25,18.7
"287",-77.75,33.25,19.7
"288",-77.25,33.25,0
"289",-76.75,33.25,0
"290",-76.25,33.25,0
"291",-75.75,33.25,0
"292",-75.25,33.25,0
"293",-74.75,33.25,0
"294",-74.25,33.25,0
"295",-73.75,33.25,0
"296",-73.25,33.25,0
"297",-91.25,33.75,12
"298",-90.75,33.75,12.1
"299",-90.25,33.75,12.1
"300",-89.75,33.75,11.9
"301",-89.25,33.75,11.6
"302",-88.75,33.75,11.7
"303",-88.25,33.75,11.7
"304",-87.75,33.75,11.5
"305",-87.25,33.75,11.3
"306",-86.75,33.75,11.2
"307",-86.25,33.75,11.1
"308",-85.75,33.75,11
"309",-85.25,33.75,11.1
"310",-84.75,33.75,11.1
"311",-84.25,33.75,11.1
"312",-83.75,33.75,11.2
"313",-83.25,33.75,11.5
"314",-82.75,33.75,11.8
"315",-82.25,33.75,12.1
"316",-81.75,33.75,12.3
"317",-81.25,33.75,12.4
"318",-80.75,33.75,12.6
"319",-80.25,33.75,12.7
"320",-79.75,33.75,13
"321",-79.25,33.75,13.6
"322",-78.75,33.75,14.7
"323",-78.25,33.75,15.6
"324",-77.75,33.75,17.3
"325",-77.25,33.75,0
"326",-76.75,33.75,0
"327",-76.25,33.75,0
"328",-75.75,33.75,0
"329",-75.25,33.75,0
"330",-74.75,33.75,0
"331",-74.25,33.75,0
"332",-73.75,33.75,0
"333",-73.25,33.75,0
"334",-91.25,34.25,11.6
"335",-90.75,34.25,11.6
"336",-90.25,34.25,11.5
"337",-89.75,34.25,11.3
"338",-89.25,34.25,11.1
"339",-88.75,34.25,11
"340",-88.25,34.25,11.1
"341",-87.75,34.25,10.8
"342",-87.25,34.25,10.6
"343",-86.75,34.25,10.6
"344",-86.25,34.25,10.5
"345",-85.75,34.25,10.4
"346",-85.25,34.25,10.6
"347",-84.75,34.25,10.5
"348",-84.25,34.25,10.2
"349",-83.75,34.25,10.3
"350",-83.25,34.25,10.7
"351",-82.75,34.25,11.1
"352",-82.25,34.25,11.4
"353",-81.75,34.25,11.5
"354",-81.25,34.25,11.6
"355",-80.75,34.25,11.9
"356",-80.25,34.25,12
"357",-79.75,34.25,12.2
"358",-79.25,34.25,12.3
"359",-78.75,34.25,12.6
"360",-78.25,34.25,13.1
"361",-77.75,34.25,14.7
"362",-77.25,34.25,16.3
"363",-76.75,34.25,17.7
"364",-76.25,34.25,19
"365",-75.75,34.25,20
"366",-75.25,34.25,20.4
"367",-74.75,34.25,20.6
"368",-74.25,34.25,0
"369",-73.75,34.25,0
"370",-73.25,34.25,0
"371",-91.25,34.75,11.2
"372",-90.75,34.75,11.2
"373",-90.25,34.75,11
"374",-89.75,34.75,10.8
"375",-89.25,34.75,10.6
"376",-88.75,34.75,10.6
"377",-88.25,34.75,10.6
"378",-87.75,34.75,10.3
"379",-87.25,34.75,10.1
"380",-86.75,34.75,10.1
"381",-86.25,34.75,9.9
"382",-85.75,34.75,9.7
"383",-85.25,34.75,10
"384",-84.75,34.75,9.8
"385",-84.25,34.75,9.2
"386",-83.75,34.75,9
"387",-83.25,34.75,9.4
"388",-82.75,34.75,9.8
"389",-82.25,34.75,10.4
"390",-81.75,34.75,10.8
"391",-81.25,34.75,10.9
"392",-80.75,34.75,11
"393",-80.25,34.75,11.2
"394",-79.75,34.75,11.4
"395",-79.25,34.75,11.5
"396",-78.75,34.75,11.6
"397",-78.25,34.75,11.8
"398",-77.75,34.75,12.6
"399",-77.25,34.75,13.7
"400",-76.75,34.75,15
"401",-76.25,34.75,16.8
"402",-75.75,34.75,18.4
"403",-75.25,34.75,19.4
"404",-74.75,34.75,20
"405",-74.25,34.75,0
"406",-73.75,34.75,0
"407",-73.25,34.75,0
"408",-91.25,35.25,10.7
"409",-90.75,35.25,10.7
"410",-90.25,35.25,10.6
"411",-89.75,35.25,10.4
"412",-89.25,35.25,10.2
"413",-88.75,35.25,10.1
"414",-88.25,35.25,10.1
"415",-87.75,35.25,9.9
"416",-87.25,35.25,9.6
"417",-86.75,35.25,9.5
"418",-86.25,35.25,9.4
"419",-85.75,35.25,9
"420",-85.25,35.25,9.2
"421",-84.75,35.25,9.4
"422",-84.25,35.25,9
"423",-83.75,35.25,8
"424",-83.25,35.25,7.8
"425",-82.75,35.25,8.2
"426",-82.25,35.25,9
"427",-81.75,35.25,9.7
"428",-81.25,35.25,10
"429",-80.75,35.25,10.1
"430",-80.25,35.25,10.3
"431",-79.75,35.25,10.6
"432",-79.25,35.25,10.7
"433",-78.75,35.25,10.8
"434",-78.25,35.25,11
"435",-77.75,35.25,11.3
"436",-77.25,35.25,11.9
"437",-76.75,35.25,12.9
"438",-76.25,35.25,14.4
"439",-75.75,35.25,16.1
"440",-75.25,35.25,17.7
"441",-74.75,35.25,19
"442",-74.25,35.25,0
"443",-73.75,35.25,0
"444",-73.25,35.25,0
"445",-91.25,35.75,10.1
"446",-90.75,35.75,10.1
"447",-90.25,35.75,10.2
"448",-89.75,35.75,10.1
"449",-89.25,35.75,9.9
"450",-88.75,35.75,9.6
"451",-88.25,35.75,9.7
"452",-87.75,35.75,9.5
"453",-87.25,35.75,9.3
"454",-86.75,35.75,9.2
"455",-86.25,35.75,9.1
"456",-85.75,35.75,8.8
"457",-85.25,35.75,8.6
"458",-84.75,35.75,8.7
"459",-84.25,35.75,9
"460",-83.75,35.75,8.4
"461",-83.25,35.75,7.8
"462",-82.75,35.75,7.5
"463",-82.25,35.75,7.6
"464",-81.75,35.75,8.2
"465",-81.25,35.75,9.1
"466",-80.75,35.75,9.3
"467",-80.25,35.75,9.5
"468",-79.75,35.75,9.6
"469",-79.25,35.75,9.9
"470",-78.75,35.75,10.1
"471",-78.25,35.75,10.4
"472",-77.75,35.75,10.6
"473",-77.25,35.75,11
"474",-76.75,35.75,11.7
"475",-76.25,35.75,12.6
"476",-75.75,35.75,14.3
"477",-75.25,35.75,16
"478",-74.75,35.75,17.5
"479",-74.25,35.75,0
"480",-73.75,35.75,0
"481",-73.25,35.75,0
"482",-91.25,36.25,9.3
"483",-90.75,36.25,9.5
"484",-90.25,36.25,9.6
"485",-89.75,36.25,9.6
"486",-89.25,36.25,9.5
"487",-88.75,36.25,9.2
"488",-88.25,36.25,9.3
"489",-87.75,36.25,9.1
"490",-87.25,36.25,8.9
"491",-86.75,36.25,8.8
"492",-86.25,36.25,8.8
"493",-85.75,36.25,8.7
"494",-85.25,36.25,8.3
"495",-84.75,36.25,8.1
"496",-84.25,36.25,8.3
"497",-83.75,36.25,8.5
"498",-83.25,36.25,8.1
"499",-82.75,36.25,7.6
"500",-82.25,36.25,7.1
"501",-81.75,36.25,6.8
"502",-81.25,36.25,7.6
"503",-80.75,36.25,8.2
"504",-80.25,36.25,8.6
"505",-79.75,36.25,8.9
"506",-79.25,36.25,9.2
"507",-78.75,36.25,9.4
"508",-78.25,36.25,9.7
"509",-77.75,36.25,10.1
"510",-77.25,36.25,10.4
"511",-76.75,36.25,10.9
"512",-76.25,36.25,11.7
"513",-75.75,36.25,13.4
"514",-75.25,36.25,14.8
"515",-74.75,36.25,16.1
"516",-74.25,36.25,0
"517",-73.75,36.25,0
"518",-73.25,36.25,0
"519",-91.25,36.75,8.6
"520",-90.75,36.75,8.8
"521",-90.25,36.75,8.9
"522",-89.75,36.75,9
"523",-89.25,36.75,8.9
"524",-88.75,36.75,8.7
"525",-88.25,36.75,8.8
"526",-87.75,36.75,8.6
"527",-87.25,36.75,8.5
"528",-86.75,36.75,8.4
"529",-86.25,36.75,8.2
"530",-85.75,36.75,8.3
"531",-85.25,36.75,8.1
"532",-84.75,36.75,8
"533",-84.25,36.75,7.8
"534",-83.75,36.75,7.9
"535",-83.25,36.75,7.6
"536",-82.75,36.75,7.3
"537",-82.25,36.75,6.9
"538",-81.75,36.75,6.3
"539",-81.25,36.75,6.2
"540",-80.75,36.75,6.9
"541",-80.25,36.75,7.6
"542",-79.75,36.75,8.1
"543",-79.25,36.75,8.6
"544",-78.75,36.75,8.8
"545",-78.25,36.75,9.1
"546",-77.75,36.75,9.5
"547",-77.25,36.75,9.9
"548",-76.75,36.75,10.4
"549",-76.25,36.75,11.3
"550",-75.75,36.75,12.9
"551",-75.25,36.75,14.1
"552",-74.75,36.75,15
"553",-74.25,36.75,0
"554",-73.75,36.75,0
"555",-73.25,36.75,0
"556",-91.25,37.25,7.8
"557",-90.75,37.25,8
"558",-90.25,37.25,8.1
"559",-89.75,37.25,8.2
"560",-89.25,37.25,8.3
"561",-88.75,37.25,8.2
"562",-88.25,37.25,8.2
"563",-87.75,37.25,8.2
"564",-87.25,37.25,8.1
"565",-86.75,37.25,8
"566",-86.25,37.25,7.8
"567",-85.75,37.25,7.8
"568",-85.25,37.25,7.7
"569",-84.75,37.25,7.6
"570",-84.25,37.25,7.6
"571",-83.75,37.25,7.6
"572",-83.25,37.25,7.4
"573",-82.75,37.25,7.2
"574",-82.25,37.25,7
"575",-81.75,37.25,6.6
"576",-81.25,37.25,5.8
"577",-80.75,37.25,6.1
"578",-80.25,37.25,6.6
"579",-79.75,37.25,7.2
"580",-79.25,37.25,7.9
"581",-78.75,37.25,8.3
"582",-78.25,37.25,8.6
"583",-77.75,37.25,9
"584",-77.25,37.25,9.4
"585",-76.75,37.25,10
"586",-76.25,37.25,11
"587",-75.75,37.25,12.3
"588",-75.25,37.25,13.3
"589",-74.75,37.25,14.1
"590",-74.25,37.25,0
"591",-73.75,37.25,0
"592",-73.25,37.25,0
"593",-91.25,37.75,7.5
"594",-90.75,37.75,7.6
"595",-90.25,37.75,7.7
"596",-89.75,37.75,7.7
"597",-89.25,37.75,7.8
"598",-88.75,37.75,7.8
"599",-88.25,37.75,7.8
"600",-87.75,37.75,7.8
"601",-87.25,37.75,7.7
"602",-86.75,37.75,7.6
"603",-86.25,37.75,7.5
"604",-85.75,37.75,7.4
"605",-85.25,37.75,7.4
"606",-84.75,37.75,7.2
"607",-84.25,37.75,7.1
"608",-83.75,37.75,7.3
"609",-83.25,37.75,7.4
"610",-82.75,37.75,7.4
"611",-82.25,37.75,7.4
"612",-81.75,37.75,6.9
"613",-81.25,37.75,6.1
"614",-80.75,37.75,5.5
"615",-80.25,37.75,5.6
"616",-79.75,37.75,6.1
"617",-79.25,37.75,6.8
"618",-78.75,37.75,7.6
"619",-78.25,37.75,8.1
"620",-77.75,37.75,8.5
