"lon","lat","TEM"
-83.75,34.25,25.9
-83.25,34.25,26.4
-82.75,34.25,26.9
-82.25,34.25,27.1
-81.75,34.25,27.2
-81.25,34.25,27.3
-80.75,34.25,27.3
-80.25,34.25,27.3
-79.75,34.25,27.1
-79.25,34.25,27
-78.75,34.25,26.8
-78.25,34.25,26.9
-77.75,34.25,27
-77.25,34.25,27.1
-76.75,34.25,27.3
-76.25,34.25,27.6
-75.75,34.25,27.8
-75.25,34.25,27.8
-74.75,34.25,27.8
-74.25,34.25,0
-73.75,34.25,0
-73.25,34.25,0
-91.25,34.75,28
-90.75,34.75,28.1
-90.25,34.75,28
-89.75,34.75,27.8
-89.25,34.75,27.5
-88.75,34.75,27.5
-88.25,34.75,27.2
-87.75,34.75,26.7
-87.25,34.75,26.4
-86.75,34.75,26.3
-86.25,34.75,26.1
-85.75,34.75,25.9
-85.25,34.75,26.2
-84.75,34.75,25.8
-84.25,34.75,24.7
-83.75,34.75,24.3
-83.25,34.75,24.8
-82.75,34.75,25.4
-82.25,34.75,26.1
-81.75,34.75,26.6
-81.25,34.75,26.9
-80.75,34.75,26.9
-80.25,34.75,27
-79.75,34.75,27
-79.25,34.75,26.8
-78.75,34.75,26.6
-78.25,34.75,26.5
-77.75,34.75,26.6
-77.25,34.75,26.8
-76.75,34.75,27
-76.25,34.75,27.1
-75.75,34.75,27.4
-75.25,34.75,27.6
-74.75,34.75,27.7
-74.25,34.75,0
-73.75,34.75,0
-73.25,34.75,0
-91.25,35.25,27.3
-90.75,35.25,27.5
-90.25,35.25,27.6
-89.75,35.25,27.4
-89.25,35.25,27.1
-88.75,35.25,26.9
-88.25,35.25,27
-87.75,35.25,26.5
-87.25,35.25,26.1
-86.75,35.25,25.9
-86.25,35.25,25.6
-85.75,35.25,25.2
-85.25,35.25,25.5
-84.75,35.25,25.5
-84.25,35.25,24.6
-83.75,35.25,23
-83.25,35.25,22.9
-82.75,35.25,23.4
-82.25,35.25,24.4
-81.75,35.25,25.5
-81.25,35.25,26.1
-80.75,35.25,26.2
-80.25,35.25,26.5
-79.75,35.25,26.6
-79.25,35.25,26.5
-78.75,35.25,26.3
-78.25,35.25,26.2
-77.75,35.25,26.2
-77.25,35.25,26.4
-76.75,35.25,26.6
-76.25,35.25,26.8
-75.75,35.25,26.9
-75.25,35.25,27.1
-74.75,35.25,27.3
